date,fund,type,amount,category,description,method,note
10/04/2026,Kas Rayhan,Masuk,2500000,Saldo Awal,Saldo Awal,Kas,
10/04/2026,Kas Azka,Masuk,2500000,Saldo Awal,Saldo Awal,Kas,
11/04/2026,Kas Rayhan,Keluar,50000,Internet,Split Instalasi WIFI,Kas,
11/04/2026,Kas Azka,Keluar,50000,Internet,Split Instalasi WIFI,Kas,
20/04/2026,Kas Rayhan,Keluar,69200,Laundry,Bayar Laundry,Kas,
21/04/2026,Kas Rayhan,Keluar,9000,Perlengkapan Rumah,Split Beli Lampu Depan,Kas,
21/04/2026,Kas Azka,Keluar,9000,Perlengkapan Rumah,Split Beli Lampu Depan,Kas,
21/04/2026,Kas Rayhan,Keluar,33900,Perlengkapan Rumah,Split Beli Lampu Tengah,Kas,
21/04/2026,Kas Azka,Keluar,33900,Perlengkapan Rumah,Split Beli Lampu Tengah,Kas,
22/04/2026,Kas Azka,Keluar,250000,Pemeliharaan,Pemeliharaan Rumput,Kas,
22/04/2026,Kas Rayhan,Keluar,250000,Pemeliharaan,Pemeliharaan Rumput,Kas,
23/04/2026,Kas Azka,Keluar,200000,Listrik,Listrik April,Kas,
22/04/2026,Kas Rayhan,Keluar,25000,Pemeliharaan,Obat Rumput,Kas,
22/04/2026,Kas Azka,Keluar,25000,Pemeliharaan,Obat Rumput,Kas,
01/05/2026,Kas Azka,Keluar,200000,Sewa,Sewa Rumdin,Kas,
01/05/2026,Kas Azka,Keluar,500000,Listrik,Listrik Mei,Kas,
01/05/2026,Kas Rayhan,Keluar,185000,Sewa,Sewa Rumdin,Kas,
01/05/2026,Kas Azka,Keluar,31000,Air / PDAM,Tagihan PDAM,Kas,
20/05/2026,Kas Azka,Keluar,99345,Internet,Tagihan Indihome,Kas,
20/05/2026,Kas Rayhan,Keluar,99345,Internet,Tagihan Indihome,Kas,
01/06/2026,Kas Azka,Keluar,250000,Listrik,Listrik Juni,Kas,
01/06/2026,Kas Rayhan,Keluar,250000,Listrik,Listrik Juni,Kas,
01/06/2026,Kas Azka,Keluar,245000,Sewa,Sewa Rumdin,Kas,
01/06/2026,Kas Rayhan,Keluar,200000,Sewa,Sewa Rumdin,Kas,
01/06/2026,Kas Rayhan,Keluar,155000,Internet,Tagihan Indihome,Kas,
01/06/2026,Kas Azka,Keluar,155000,Internet,Tagihan Indihome,Kas,
01/06/2026,Kas Rayhan,Keluar,46500,Air / PDAM,Tagihan PDAM,Kas,
01/06/2026,Kas Azka,Keluar,46500,Air / PDAM,Tagihan PDAM,Kas,
28/06/2026,Kas Rayhan,Keluar,250000,Aset Rumah,Split Kulkas,Kas,
28/06/2026,Kas Azka,Keluar,250000,Aset Rumah,Split Kulkas,Kas,
28/06/2026,Kas Azka,Keluar,50000,Aset Rumah,Split Ongkir Kulkas,Kas,
28/06/2026,Kas Azka,Keluar,5000,Aset Rumah,Double Tip,Kas,
28/06/2026,Kas Azka,Keluar,22500,Perlengkapan Rumah,Split Kran Dapur,Kas,
28/06/2026,Kas Rayhan,Keluar,22500,Perlengkapan Rumah,Splti Kran Dapur,Kas,
28/06/2026,Kas Rayhan,Keluar,168000,Renovasi,Cat Kamar,Kas,
28/06/2026,Kas Rayhan,Keluar,85280,Renovasi,"Kunci Jendela, Kelengkapan Cat (Roller, amplas, dll)",Kas,
01/07/2026,Kas Azka,Masuk,1000000,Inject Dana / Top Up,Inject Dana,Kas,
01/07/2026,Kas Azka,Keluar,245000,Sewa,Sewa Rumdin,Kas,
01/07/2026,Kas Rayhan,Keluar,200000,Sewa,Sewa Rumdin,Kas,
05/07/2026,Kas Rayhan,Masuk,1000000,Inject Dana / Top Up,Inject Dana,Kas,
05/07/2026,Kas Rayhan,Keluar,150000,Pemeliharaan,Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Azka,Keluar,150000,Pemeliharaan,Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Azka,Keluar,11000,Pemeliharaan,Makan Siang Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Azka,Keluar,10000,Pemeliharaan,Bensin Mesin Pemotong Rumput,Kas,
05/07/2026,Kas Azka,Keluar,7000,Air / PDAM,Jamuan Air Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Rayhan,Keluar,11000,Pemeliharaan,Makan Siang Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Rayhan,Keluar,10000,Pemeliharaan,Bensin Mesin Pemotong Rumput,Kas,
05/07/2026,Kas Rayhan,Keluar,7000,Air / PDAM,Jamuan Air Jasa Pemeliharaan Rumput,Kas,
05/07/2026,Kas Rayhan,Keluar,7000,Perlengkapan Rumah,Lem Pipa,Kas,
05/07/2026,Kas Azka,Keluar,5250,Perlengkapan Rumah,Lem Pipa,Kas,
07/07/2026,Kas Azka,Keluar,250000,Listrik,Listrik Juli,Kas,
07/07/2026,Kas Rayhan,Keluar,250000,Listrik,Listrik Juli,Kas,
07/07/2026,Kas Rayhan,Keluar,105500,Air / PDAM,Tagihan PDAM,Kas,
07/07/2026,Kas Azka,Keluar,105500,Air / PDAM,Tagihan PDAM,Kas,
